Optimized EHL Solver Init
Step 138/329 | Load err=2.4047e-07 | Res=2.7009e-08 | Iters=2 | Step time=0.062s | Total time=61.6s
Step 139/329 | Load err=3.8138e-07 | Res=3.6239e-08 | Iters=6 | Step time=0.187s | Total time=61.8s
Step 140/329 | Load err=5.4112e-08 | Res=4.9636e-09 | Iters=11 | Step time=1.908s | Total time=63.7s
Step 141/329 | Load err=6.2074e-05 | Res=5.6903e-06 | Iters=20 | Step time=8.060s | Total time=71.8s
Step 142/329 | Load err=8.6331e-05 | Res=7.9139e-06 | Iters=20 | Step time=8.364s | Total time=80.1s
Step 143/329 | Load err=1.0888e-08 | Res=2.2129e-08 | Iters=0 | Step time=0.125s | Total time=80.3s
Step 144/329 | Load err=1.5698e-07 | Res=7.2203e-08 | Iters=4 | Step time=0.126s | Total time=80.4s
Step 145/329 | Load err=2.8854e-07 | Res=2.6451e-08 | Iters=4 | Step time=0.125s | Total time=80.5s
Step 146/329 | Load err=2.9532e-07 | Res=6.6313e-08 | Iters=3 | Step time=0.094s | Total time=80.6s
Step 147/329 | Load err=4.3161e-07 | Res=3.9567e-08 | Iters=18 | Step time=0.560s | Total time=81.2s
Step 148/329 | Load err=1.5754e-07 | Res=1.4700e-08 | Iters=25 | Step time=2.339s | Total time=83.5s
Step 149/329 | Load err=2.0596e-07 | Res=1.8882e-08 | Iters=8 | Step time=0.249s | Total time=83.7s
Step 150/329 | Load err=8.0531e-08 | Res=2.0749e-08 | Iters=12 | Step time=0.373s | Total time=84.1s
Step 151/329 | Load err=3.1782e-07 | Res=2.9134e-08 | Iters=5 | Step time=1.715s | Total time=85.8s
Step 152/329 | Load err=9.2036e-06 | Res=8.4369e-07 | Iters=19 | Step time=3.241s | Total time=89.1s
Step 153/329 | Load err=9.7616e-08 | Res=8.9485e-09 | Iters=4 | Step time=0.125s | Total time=89.2s
Step 154/329 | Load err=3.5905e-08 | Res=3.4328e-09 | Iters=3 | Step time=0.094s | Total time=89.3s
Step 155/329 | Load err=3.2453e-07 | Res=6.1144e-07 | Iters=6 | Step time=1.752s | Total time=91.0s
Step 156/329 | Load err=7.5328e-05 | Res=6.9053e-06 | Iters=20 | Step time=7.355s | Total time=98.4s
Step 157/329 | Load err=3.3641e-07 | Res=4.8712e-08 | Iters=3 | Step time=0.093s | Total time=98.5s
Step 158/329 | Load err=5.7584e-08 | Res=6.6940e-09 | Iters=4 | Step time=0.124s | Total time=98.6s
Step 159/329 | Load err=6.2317e-06 | Res=5.7126e-07 | Iters=24 | Step time=6.361s | Total time=105.0s
Step 160/329 | Load err=1.3477e-05 | Res=1.2354e-06 | Iters=20 | Step time=8.534s | Total time=113.5s
Step 161/329 | Load err=6.4428e-06 | Res=5.9061e-07 | Iters=14 | Step time=6.221s | Total time=119.7s
Step 162/329 | Load err=8.9613e-07 | Res=8.2148e-08 | Iters=14 | Step time=2.152s | Total time=121.9s
Step 163/329 | Load err=7.5812e-05 | Res=6.9497e-06 | Iters=20 | Step time=6.076s | Total time=128.0s
Step 164/329 | Load err=5.0286e-08 | Res=4.6138e-09 | Iters=5 | Step time=0.155s | Total time=128.1s
