angle_deg	amp_300	amp_500	amp_700	amp_900
-4.90000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.85000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.80000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.75000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.70000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.65000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.60000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.55000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.50000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.45000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.40000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.35000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.30000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.25000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.20000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.15000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.10000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.05000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.00000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.95000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.90000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.85000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.80000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.75000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.70000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.65000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.60000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.55000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.50000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.45000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.40000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.35000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.30000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.25000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.20000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.15000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.10000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.05000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.00000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.95000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.90000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.85000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.80000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.75000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.70000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.65000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.60000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.55000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.50000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.45000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.40000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.35000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.30000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.25000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.20000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.15000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.10000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.05000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.00000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.95000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.90000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.85000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.80000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.75000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.70000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.65000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.60000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.55000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.50000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.45000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.40000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.35000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.30000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.25000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.20000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.15000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.10000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.05000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.00000000e+01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-9.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-9.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-8.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-8.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-7.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-7.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-6.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-6.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-5.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-5.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-4.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-3.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-2.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-1.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
-5.00000000e-01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
0.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.00000000e-01	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
1.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
1.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
2.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
2.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
3.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
4.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.00000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
5.50000000e+00	5.00000000e-06	5.00000000e-06	5.00000000e-06	5.00000000e-06
