# theta_deg base_template rpm_300 rpm_500 rpm_700 rpm_900
-6.5752433940e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.5524339360e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.5296244780e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.5068150210e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.4840055630e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.4611961060e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.4383866480e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.4155771900e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.3927677330e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.3699582750e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.3471488180e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.3243393600e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.3015299030e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.2787204450e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.2559109870e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.2331015300e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.2102920720e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.1874826150e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.1646731570e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.1418637000e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.1190542420e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.0962447840e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.0734353270e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.0506258690e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.0278164120e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-6.0050069540e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.9821974970e+01 1.2336334110e-07 1.9068511844e-07 4.3037017704e-07 5.0892242313e-07 4.2902740360e-07
-5.9593880390e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.9365785810e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.9137691240e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.8909596660e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.8681502090e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.8453407510e+01 4.7139776410e-08 1.1446155375e-07 3.5414661235e-07 4.3269885844e-07 3.5280383891e-07
-5.8225312930e+01 3.0357144190e-09 7.0357491763e-08 3.1004255036e-07 3.8859479645e-07 3.0869977692e-07
-5.7997218360e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.7769123780e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.7541029210e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.7312934630e+01 1.0108360860e-07 1.6840538594e-07 4.0809044454e-07 4.8664269063e-07 4.0674767110e-07
-5.7084840060e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.6856745480e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.6628650900e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.6400556330e+01 9.4843726920e-08 1.6216550426e-07 4.0185056286e-07 4.8040280895e-07 4.0050778942e-07
-5.6172461750e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.5944367180e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.5716272600e+01 3.0672380380e-08 9.7994157724e-08 3.3767921632e-07 4.1623146241e-07 3.3633644288e-07
-5.5488178030e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.5260083450e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.5031988870e+01 7.6314635120e-09 7.4953240856e-08 3.1463829945e-07 3.9319054554e-07 3.1329552601e-07
-5.4803894300e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.4575799720e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.4347705150e+01 7.9165084430e-08 1.4648686177e-07 3.8617192037e-07 4.6472416646e-07 3.8482914693e-07
-5.4119610570e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.3891515990e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.3663421420e+01 7.1162494500e-08 1.3848427184e-07 3.7816933044e-07 4.5672157653e-07 3.7682655700e-07
-5.3435326840e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.3207232270e+01 6.8209637880e-09 7.4142741132e-08 3.1382779973e-07 3.9238004582e-07 3.1248502629e-07
-5.2979137690e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.2751043120e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.2522948540e+01 3.5377542790e-08 1.0269932013e-07 3.4238437873e-07 4.2093662482e-07 3.4104160529e-07
-5.2294853960e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.2066759390e+01 7.5905455750e-08 1.4322723309e-07 3.8291229169e-07 4.6146453778e-07 3.8156951825e-07
-5.1838664810e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.1610570240e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.1382475660e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.1154381080e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.0926286510e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.0698191930e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.0470097360e+01 7.2510935150e-08 1.3983271249e-07 3.7951777109e-07 4.5807001718e-07 3.7817499765e-07
-5.0242002780e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-5.0013908210e+01 7.1839998310e-08 1.3916177565e-07 3.7884683425e-07 4.5739908034e-07 3.7750406081e-07
-4.9785813630e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.9557719050e+01 1.6662052550e-09 6.8987982599e-08 3.0867304119e-07 3.8722528729e-07 3.0733026776e-07
-4.9329624480e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.9101529900e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.8873435330e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.8645340750e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.8417246180e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.8189151600e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.7961057020e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.7732962450e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.7504867870e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.7276773300e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.7048678720e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.6820584140e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.6592489570e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.6364394990e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.6136300420e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.5908205840e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.5680111270e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.5452016690e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.5223922110e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.4995827540e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.4767732960e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.4539638390e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.4311543810e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.4083449240e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.3855354660e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.3627260080e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.3399165510e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.3171070930e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.2942976360e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.2714881780e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.2486787200e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.2258692630e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.2030598050e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.1802503480e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.1574408900e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.1346314330e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.1118219750e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.0890125170e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.0662030600e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.0433936020e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-4.0205841450e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-3.9977746870e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-3.9749652290e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-3.9521557720e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-3.9293463140e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
-3.9065368570e+01 0.0000000000e+00 6.7321777344e-08 3.0700683594e-07 3.8555908203e-07 3.0566406250e-07
