# theta_deg base_template rpm_300 rpm_500 rpm_700 rpm_900
-6.3243393602e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.3015299026e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.2787204451e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.2559109875e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.2331015299e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.2102920723e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.1874826147e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.1646731572e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.1418636996e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.1190542420e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.0962447844e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.0734353268e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.0506258693e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.0278164117e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-6.0050069541e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-5.9821974965e+01 2.4672668228e-06 1.9672668228e-06 2.7192199478e-06 3.5490539322e-06 3.3127258072e-06
-5.9593880389e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-5.9365785814e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-5.9137691238e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-5.8909596662e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-5.8681502086e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-5.8453407510e+01 9.4279552830e-07 4.4279552830e-07 1.1947486533e-06 2.0245826377e-06 1.7882545127e-06
-5.8225312935e+01 6.0714288387e-08 0.0000000000e+00 3.1266741339e-07 1.1425013978e-06 9.0617327276e-07
-5.7997218359e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
-5.7769123783e+01 0.0000000000e+00 0.0000000000e+00 2.5195312500e-07 1.0817871094e-06 8.4545898438e-07
