Optimized EHL Solver Init
Step 83/329 | Load err=4.0603e-07 | Res=4.1736e-07 | Iters=12 | Step time=0.401s | Total time=22.8s
Step 84/329 | Load err=1.0355e-06 | Res=1.0357e-06 | Iters=12 | Step time=0.399s | Total time=23.2s
Step 85/329 | Load err=7.1731e-07 | Res=8.2367e-07 | Iters=12 | Step time=0.400s | Total time=23.6s
Step 86/329 | Load err=8.2352e-07 | Res=8.8083e-07 | Iters=12 | Step time=0.399s | Total time=24.0s
Step 87/329 | Load err=1.1201e-06 | Res=1.1201e-06 | Iters=12 | Step time=0.400s | Total time=24.4s
Step 88/329 | Load err=2.4822e-07 | Res=2.6769e-07 | Iters=12 | Step time=0.398s | Total time=24.8s
Step 89/329 | Load err=4.7162e-08 | Res=4.7164e-08 | Iters=2 | Step time=0.066s | Total time=24.9s
Step 90/329 | Load err=2.2310e-08 | Res=2.3118e-08 | Iters=12 | Step time=0.395s | Total time=25.3s
Step 91/329 | Load err=1.6241e-08 | Res=1.6861e-07 | Iters=12 | Step time=0.396s | Total time=25.7s
Step 92/329 | Load err=2.7633e-09 | Res=3.5918e-09 | Iters=9 | Step time=0.296s | Total time=25.9s
Step 93/329 | Load err=5.1947e-10 | Res=1.0275e-09 | Iters=10 | Step time=0.329s | Total time=26.3s
Step 94/329 | Load err=2.2751e-08 | Res=2.2764e-08 | Iters=6 | Step time=0.198s | Total time=26.5s
Step 95/329 | Load err=3.1293e-08 | Res=5.3443e-08 | Iters=8 | Step time=0.263s | Total time=26.7s
Step 96/329 | Load err=1.3052e-08 | Res=3.2247e-08 | Iters=6 | Step time=0.197s | Total time=26.9s
Step 97/329 | Load err=6.7336e-08 | Res=8.1359e-08 | Iters=7 | Step time=0.230s | Total time=27.2s
Step 98/329 | Load err=6.8205e-08 | Res=7.1658e-08 | Iters=5 | Step time=0.163s | Total time=27.3s
Step 99/329 | Load err=3.2547e-08 | Res=3.4081e-08 | Iters=5 | Step time=0.164s | Total time=27.5s
Step 100/329 | Load err=8.3279e-08 | Res=8.3286e-08 | Iters=3 | Step time=0.098s | Total time=27.6s
Step 101/329 | Load err=1.6941e-08 | Res=2.4664e-08 | Iters=2 | Step time=0.065s | Total time=27.7s
Step 102/329 | Load err=1.8251e-08 | Res=1.8400e-08 | Iters=2 | Step time=0.065s | Total time=27.7s
Step 103/329 | Load err=2.0763e-08 | Res=2.0763e-08 | Iters=2 | Step time=0.065s | Total time=27.8s
Step 104/329 | Load err=2.4463e-08 | Res=2.4463e-08 | Iters=2 | Step time=0.065s | Total time=27.9s
Step 105/329 | Load err=2.5246e-09 | Res=3.0369e-08 | Iters=3 | Step time=0.098s | Total time=27.9s
Step 106/329 | Load err=4.6798e-07 | Res=6.6020e-07 | Iters=12 | Step time=0.393s | Total time=28.3s
Step 107/329 | Load err=3.8175e-04 | Res=1.7609e-01 | Iters=12 | Step time=0.391s | Total time=28.7s
Step 108/329 | Load err=2.7216e-03 | Res=1.1029e+04 | Iters=12 | Step time=1.176s | Total time=29.9s
Step 109/329 | Load err=2.5440e-02 | Res=4.8686e-01 | Iters=0 | Step time=0.454s | Total time=30.4s
Step 110/329 | Load err=1.2365e-01 | Res=3.3813e-01 | Iters=0 | Step time=0.097s | Total time=30.5s
Step 111/329 | Load err=2.1004e-01 | Res=2.0728e-01 | Iters=0 | Step time=0.096s | Total time=30.6s
Step 112/329 | Load err=2.8562e-01 | Res=9.4190e-02 | Iters=0 | Step time=0.096s | Total time=30.7s
Step 113/329 | Load err=3.5130e-01 | Res=2.8097e-02 | Iters=0 | Step time=0.096s | Total time=30.7s
