Optimized EHL Solver Init
Step 1/329 | Load err=1.0138e-06 | Res=9.2939e-08 | Iters=9 | Step time=0.285s | Total time=0.3s
Step 240/329 | Load err=2.3948e-07 | Res=2.9932e-08 | Iters=2 | Step time=0.064s | Total time=119.3s
Step 241/329 | Load err=5.4930e-07 | Res=5.3706e-08 | Iters=6 | Step time=0.190s | Total time=119.5s
Step 242/329 | Load err=9.3237e-07 | Res=9.5029e-08 | Iters=4 | Step time=0.127s | Total time=119.6s
Step 243/329 | Load err=6.1475e-08 | Res=1.1767e-08 | Iters=6 | Step time=0.191s | Total time=119.8s
Step 244/329 | Load err=9.1923e-07 | Res=9.8013e-08 | Iters=7 | Step time=0.222s | Total time=120.1s
Step 245/329 | Load err=4.2817e-07 | Res=7.4674e-08 | Iters=4 | Step time=0.127s | Total time=120.2s
Step 246/329 | Load err=6.2927e-07 | Res=5.7780e-08 | Iters=3 | Step time=0.095s | Total time=120.3s
Step 247/329 | Load err=7.9621e-07 | Res=7.3265e-08 | Iters=6 | Step time=0.191s | Total time=120.5s
Step 248/329 | Load err=1.5529e-07 | Res=3.5513e-08 | Iters=4 | Step time=0.127s | Total time=120.6s
Step 249/329 | Load err=5.9264e-08 | Res=4.1586e-08 | Iters=3 | Step time=0.096s | Total time=120.7s
Step 250/329 | Load err=4.9100e-07 | Res=5.0202e-08 | Iters=11 | Step time=0.353s | Total time=121.0s
Step 251/329 | Load err=1.0076e-06 | Res=9.2729e-08 | Iters=4 | Step time=0.126s | Total time=121.2s
Step 252/329 | Load err=9.3133e-07 | Res=8.9482e-08 | Iters=7 | Step time=0.222s | Total time=121.4s
Step 253/329 | Load err=8.9342e-07 | Res=9.4240e-08 | Iters=4 | Step time=0.128s | Total time=121.5s
Step 254/329 | Load err=7.4912e-07 | Res=8.2486e-08 | Iters=5 | Step time=0.158s | Total time=121.7s
Step 255/329 | Load err=2.7366e-07 | Res=5.2972e-08 | Iters=5 | Step time=0.158s | Total time=121.8s
Step 256/329 | Load err=3.4321e-07 | Res=3.1465e-08 | Iters=10 | Step time=0.320s | Total time=122.2s
Step 257/329 | Load err=6.3356e-07 | Res=5.8734e-08 | Iters=4 | Step time=0.128s | Total time=122.3s
Step 258/329 | Load err=5.8518e-07 | Res=5.7194e-08 | Iters=14 | Step time=0.452s | Total time=122.7s
Step 259/329 | Load err=7.8427e-07 | Res=7.7258e-08 | Iters=4 | Step time=0.129s | Total time=122.9s
Step 260/329 | Load err=5.5919e-07 | Res=5.1708e-08 | Iters=3 | Step time=0.096s | Total time=123.0s
Step 261/329 | Load err=9.2465e-07 | Res=8.5808e-08 | Iters=4 | Step time=0.127s | Total time=123.1s
Step 262/329 | Load err=6.4060e-07 | Res=6.1851e-08 | Iters=5 | Step time=0.159s | Total time=123.2s
Step 263/329 | Load err=3.5165e-07 | Res=3.2239e-08 | Iters=2 | Step time=0.064s | Total time=123.3s
Step 264/329 | Load err=7.8275e-07 | Res=7.4056e-08 | Iters=6 | Step time=0.191s | Total time=123.5s
Step 265/329 | Load err=4.1147e-07 | Res=3.7719e-08 | Iters=2 | Step time=0.064s | Total time=123.6s
Step 266/329 | Load err=1.3544e-07 | Res=1.2422e-08 | Iters=11 | Step time=0.353s | Total time=123.9s
Step 267/329 | Load err=7.5374e-08 | Res=3.9057e-08 | Iters=11 | Step time=0.353s | Total time=124.3s
Step 268/329 | Load err=5.1190e-07 | Res=4.6925e-08 | Iters=2 | Step time=0.064s | Total time=124.3s
Step 269/329 | Load err=6.2657e-08 | Res=6.3349e-08 | Iters=4 | Step time=0.127s | Total time=124.5s
Step 270/329 | Load err=3.7340e-07 | Res=3.9268e-08 | Iters=4 | Step time=0.127s | Total time=124.6s
Step 271/329 | Load err=2.8529e-07 | Res=2.6152e-08 | Iters=1 | Step time=1.329s | Total time=125.9s
Step 272/329 | Load err=1.8959e-07 | Res=3.4424e-08 | Iters=4 | Step time=0.127s | Total time=126.0s
Step 273/329 | Load err=9.9284e-07 | Res=9.3683e-08 | Iters=6 | Step time=0.190s | Total time=126.2s
Step 274/329 | Load err=2.2645e-07 | Res=2.0758e-08 | Iters=2 | Step time=0.064s | Total time=126.3s
Step 275/329 | Load err=8.2138e-07 | Res=8.1322e-08 | Iters=3 | Step time=0.095s | Total time=126.4s
Step 276/329 | Load err=3.2038e-07 | Res=3.0713e-08 | Iters=5 | Step time=0.159s | Total time=126.6s
Step 277/329 | Load err=2.1619e-07 | Res=2.3099e-08 | Iters=3 | Step time=0.096s | Total time=126.7s
Step 278/329 | Load err=4.5448e-07 | Res=4.4895e-08 | Iters=4 | Step time=0.127s | Total time=126.8s
Step 279/329 | Load err=2.6327e-07 | Res=2.6946e-08 | Iters=4 | Step time=0.129s | Total time=126.9s
Step 280/329 | Load err=1.5225e-07 | Res=1.6019e-08 | Iters=5 | Step time=0.160s | Total time=127.1s
Step 281/329 | Load err=5.4517e-07 | Res=5.0022e-08 | Iters=1 | Step time=0.032s | Total time=127.1s
Step 282/329 | Load err=8.0426e-07 | Res=7.4117e-08 | Iters=5 | Step time=0.158s | Total time=127.3s
Step 283/329 | Load err=6.0427e-07 | Res=5.7255e-08 | Iters=2 | Step time=0.063s | Total time=127.3s
Step 284/329 | Load err=9.4488e-07 | Res=8.6929e-08 | Iters=3 | Step time=0.095s | Total time=127.4s
Step 285/329 | Load err=3.9659e-07 | Res=3.6577e-08 | Iters=8 | Step time=0.254s | Total time=127.7s
Step 286/329 | Load err=4.6874e-07 | Res=4.3643e-08 | Iters=3 | Step time=0.096s | Total time=127.8s
Step 287/329 | Load err=2.7246e-07 | Res=2.6919e-08 | Iters=2 | Step time=0.064s | Total time=127.8s
Step 288/329 | Load err=3.7459e-07 | Res=3.5465e-08 | Iters=5 | Step time=0.159s | Total time=128.0s
Step 289/329 | Load err=1.0539e-06 | Res=9.6611e-08 | Iters=2 | Step time=0.064s | Total time=128.1s
Step 290/329 | Load err=5.2907e-07 | Res=4.8546e-08 | Iters=2 | Step time=0.064s | Total time=128.1s
Step 291/329 | Load err=5.8663e-07 | Res=5.4796e-08 | Iters=2 | Step time=0.064s | Total time=128.2s
Step 292/329 | Load err=8.5943e-07 | Res=7.8786e-08 | Iters=2 | Step time=0.064s | Total time=128.2s
Step 293/329 | Load err=3.8471e-07 | Res=3.5845e-08 | Iters=3 | Step time=0.096s | Total time=128.3s
Step 294/329 | Load err=4.6001e-07 | Res=4.2994e-08 | Iters=2 | Step time=0.064s | Total time=128.4s
Step 295/329 | Load err=9.4628e-07 | Res=8.7005e-08 | Iters=2 | Step time=0.064s | Total time=128.5s
Step 296/329 | Load err=7.9809e-07 | Res=7.3538e-08 | Iters=2 | Step time=0.064s | Total time=128.5s
Step 297/329 | Load err=1.7354e-07 | Res=1.6691e-08 | Iters=2 | Step time=0.064s | Total time=128.6s
Step 298/329 | Load err=2.6786e-07 | Res=2.4717e-08 | Iters=4 | Step time=0.128s | Total time=128.7s
Step 299/329 | Load err=3.6428e-07 | Res=3.3796e-08 | Iters=4 | Step time=0.127s | Total time=128.9s
Step 300/329 | Load err=3.1228e-08 | Res=3.7955e-09 | Iters=4 | Step time=0.126s | Total time=129.0s
Step 301/329 | Load err=5.6893e-07 | Res=5.2154e-08 | Iters=3 | Step time=0.095s | Total time=129.1s
Step 302/329 | Load err=7.4304e-07 | Res=6.8478e-08 | Iters=2 | Step time=0.063s | Total time=129.1s
Step 303/329 | Load err=1.0049e-08 | Res=5.2914e-09 | Iters=2 | Step time=0.063s | Total time=129.2s
Step 304/329 | Load err=5.9951e-07 | Res=5.5010e-08 | Iters=1 | Step time=0.032s | Total time=129.2s
Step 305/329 | Load err=3.6399e-07 | Res=3.3748e-08 | Iters=2 | Step time=0.063s | Total time=129.3s
Step 306/329 | Load err=2.6583e-08 | Res=3.1910e-09 | Iters=2 | Step time=0.063s | Total time=129.4s
Step 307/329 | Load err=3.9818e-07 | Res=3.6837e-08 | Iters=2 | Step time=0.063s | Total time=129.4s
Step 308/329 | Load err=8.4300e-08 | Res=8.0926e-09 | Iters=2 | Step time=0.063s | Total time=129.5s
Step 309/329 | Load err=2.0212e-07 | Res=1.9234e-08 | Iters=2 | Step time=0.063s | Total time=129.5s
Step 310/329 | Load err=1.1243e-07 | Res=1.0504e-08 | Iters=2 | Step time=0.063s | Total time=129.6s
Step 311/329 | Load err=1.1012e-07 | Res=1.1503e-08 | Iters=2 | Step time=0.063s | Total time=129.7s
Step 312/329 | Load err=2.4249e-08 | Res=3.2942e-09 | Iters=2 | Step time=0.063s | Total time=129.7s
Step 313/329 | Load err=2.8507e-07 | Res=2.6985e-08 | Iters=2 | Step time=0.063s | Total time=129.8s
Step 314/329 | Load err=7.3313e-08 | Res=7.0405e-09 | Iters=2 | Step time=0.063s | Total time=129.9s
Step 315/329 | Load err=4.3486e-07 | Res=4.0585e-08 | Iters=2 | Step time=0.063s | Total time=129.9s
Step 316/329 | Load err=4.7860e-09 | Res=2.5778e-09 | Iters=2 | Step time=0.063s | Total time=130.0s
Step 317/329 | Load err=5.2333e-07 | Res=4.8606e-08 | Iters=2 | Step time=0.063s | Total time=130.1s
Step 318/329 | Load err=5.7558e-08 | Res=5.7171e-09 | Iters=2 | Step time=0.063s | Total time=130.1s
Step 319/329 | Load err=4.9661e-07 | Res=4.6213e-08 | Iters=2 | Step time=0.063s | Total time=130.2s
Step 320/329 | Load err=5.2796e-09 | Res=2.6751e-09 | Iters=2 | Step time=0.063s | Total time=130.2s
Step 321/329 | Load err=3.7168e-07 | Res=3.4840e-08 | Iters=2 | Step time=0.063s | Total time=130.3s
Step 322/329 | Load err=1.2567e-07 | Res=1.1736e-08 | Iters=2 | Step time=0.063s | Total time=130.4s
Step 323/329 | Load err=2.8725e-07 | Res=2.7317e-08 | Iters=2 | Step time=0.064s | Total time=130.4s
Step 324/329 | Load err=8.7834e-08 | Res=8.4723e-09 | Iters=2 | Step time=0.063s | Total time=130.5s
Step 325/329 | Load err=1.0836e-06 | Res=9.9489e-08 | Iters=1 | Step time=0.032s | Total time=130.5s
Step 326/329 | Load err=1.2418e-07 | Res=1.1593e-08 | Iters=3 | Step time=0.095s | Total time=130.6s
Step 327/329 | Load err=1.9771e-07 | Res=1.8894e-08 | Iters=2 | Step time=0.064s | Total time=130.7s
Step 328/329 | Load err=4.2058e-08 | Res=4.7219e-09 | Iters=2 | Step time=0.064s | Total time=130.7s
Step 329/329 | Load err=8.2676e-07 | Res=7.5834e-08 | Iters=2 | Step time=0.064s | Total time=130.8s

============================================================
FINAL SUMMARY
============================================================
Total Runtime: 130.81 seconds
Average Load Error: 7.0317e-04
Max Load Error: 1.2219e-01
Average Step Time: 0.398 seconds
